code	name	color	material	variantId	imageUrl	productUrl
33401	PETG HF	Cream	PETG	G02-Y1	https://store.bblcdn.eu/s8/default/588e1afe37284baaa4ee09fbff15a66d/5_87e53b22-3a47-4e93-adce-7f40106815c0.jpg	https://eu.store.bambulab.com/products/petg-hf
33500	PETG HF	Green	PETG	G02-G0	https://store.bblcdn.eu/s8/default/588e1afe37284baaa4ee09fbff15a66d/5_87e53b22-3a47-4e93-adce-7f40106815c0.jpg	https://eu.store.bambulab.com/products/petg-hf
33501	PETG HF	Lime Green	PETG	G02-G1	https://store.bblcdn.eu/s8/default/588e1afe37284baaa4ee09fbff15a66d/5_87e53b22-3a47-4e93-adce-7f40106815c0.jpg	https://eu.store.bambulab.com/products/petg-hf
33502	PETG HF	Forest Green	PETG	G02-G2	https://store.bblcdn.eu/s8/default/588e1afe37284baaa4ee09fbff15a66d/5_87e53b22-3a47-4e93-adce-7f40106815c0.jpg	https://eu.store.bambulab.com/products/petg-hf
33600	PETG HF	Blue	PETG	G02-B0	https://store.bblcdn.eu/s8/default/588e1afe37284baaa4ee09fbff15a66d/5_87e53b22-3a47-4e93-adce-7f40106815c0.jpg	https://eu.store.bambulab.com/products/petg-hf
33601	PETG HF	Lake Blue	PETG	G02-B1	https://store.bblcdn.eu/s8/default/588e1afe37284baaa4ee09fbff15a66d/5_87e53b22-3a47-4e93-adce-7f40106815c0.jpg	https://eu.store.bambulab.com/products/petg-hf
33801	PETG HF	Peanut Brown	PETG	G02-N1	https://store.bblcdn.eu/s8/default/588e1afe37284baaa4ee09fbff15a66d/5_87e53b22-3a47-4e93-adce-7f40106815c0.jpg	https://eu.store.bambulab.com/products/petg-hf
40100	ABS	ABS White	ABS	B00-W0	https://store.bblcdn.eu/s8/default/5d297742b7744e58a742421ec967a0ea/ABSsilver.png	https://eu.store.bambulab.com/products/abs-filament
40101	ABS	ABS Black	ABS	B00-K0	https://store.bblcdn.eu/s8/default/5d297742b7744e58a742421ec967a0ea/ABSsilver.png	https://eu.store.bambulab.com/products/abs-filament
40102	ABS	ABS Silver	ABS	B00-D1	https://store.bblcdn.eu/s8/default/5d297742b7744e58a742421ec967a0ea/ABSsilver.png	https://eu.store.bambulab.com/products/abs-filament
40200	ABS	ABS Red	ABS	B00-R0	https://store.bblcdn.eu/s8/default/5d297742b7744e58a742421ec967a0ea/ABSsilver.png	https://eu.store.bambulab.com/products/abs-filament
40300	ABS	ABS Orange	ABS	B00-A0	https://store.bblcdn.eu/s8/default/5d297742b7744e58a742421ec967a0ea/ABSsilver.png	https://eu.store.bambulab.com/products/abs-filament
